freq	dBm(fashef)
2.54872727272727317E10	-9.26205125058401002E1
2.54890909090909101E10	-8.69117529854220372E1
2.54909090909090930E10	-9.18318231010977115E1
2.54927272727272713E10	-9.74105864647713382E1
2.54945454545454586E10	-8.92730893647986612E1
2.54963636363636326E10	-8.94290776016283928E1
2.54981818181818198E10	-1.13550939772846071E2
2.54999999999999982E10	-1.03356497559770033E2
2.55018181818181811E10	-9.10310743325026372E1
2.55036363636363683E10	-9.43047914750397887E1
2.55054545454545423E10	-9.31992245314040169E1
2.55072727272727295E10	-1.02524590586698228E2
2.55090909090909079E10	-9.35074538675224787E1
2.55109090909090863E10	-9.48319727245731414E1
2.55127272727272691E10	-8.97766283509898066E1
2.55145454545454609E10	-8.68026242624643629E1
2.55163636363636304E10	-9.98369265271114159E1
2.55181818181818176E10	-8.93517761934688970E1
2.55200000000000005E10	-8.88256991821016584E1
2.55218181818181789E10	-9.11559909564464377E1
2.55236363636363706E10	-9.80897057060685640E1
2.55254545454545401E10	-9.43305204796589436E1
2.55272727272727318E10	-8.81374543662620091E1
2.55290909090909102E10	-1.00300527862882616E2
2.55309090909090930E10	-9.49771298741862324E1
2.55327272727272714E10	-9.79734435052715291E1
2.55345454545454587E10	-9.39495906997836983E1
2.55363636363636326E10	-9.06286276501643684E1
2.55381818181818199E10	-9.95864960645746500E1
2.55399999999999983E10	-1.01707895129285153E2
2.55418181818181811E10	-9.27382988060109525E1
2.55436363636363684E10	-9.46304083698924359E1
2.55454545454545379E10	-8.93001650776188960E1
2.55472727272727296E10	-8.81995077478920741E1
2.55490909090909124E10	-9.27819041851030057E1
2.55509090909090908E10	-8.91996864052854832E1
2.55527272727272692E10	-8.55954776151605756E1
2.55545454545454565E10	-8.67991559635343357E1
2.55563636363636304E10	-9.46513951286971178E1
2.55581818181818177E10	-9.06357872381090246E1
2.55600000000000005E10	-8.60457891529132546E1
2.55618181818181789E10	-8.86582364717642513E1
2.55636363636363706E10	-9.47422298994009715E1
2.55654545454545401E10	-9.30384902432921201E1
2.55672727272727318E10	-9.11976723842796133E1
2.55690909090909102E10	-8.79075633010003088E1
2.55709090909090886E10	-8.61088486060044112E1
2.55727272727272714E10	-9.33289421996255442E1
2.55745454545454631E10	-9.43324978510599443E1
2.55763636363636326E10	-8.83837113235119531E1
2.55781818181818199E10	-8.63249118554263006E1
2.55800000000000027E10	-9.45605518844979187E1
2.55818181818181811E10	-9.81379615902054603E1
2.55836363636363684E10	-9.39150366239829104E1
2.55854545454545423E10	-1.00044192372609797E2
2.55872727272727296E10	-9.70171207052213802E1
2.55890909090909080E10	-9.94409791482398475E1
2.55909090909090908E10	-8.87427714341523988E1
2.55927272727272692E10	-9.20151778661555575E1
2.55945454545454609E10	-8.95044580856260197E1
2.55963636363636304E10	-8.95065872785168892E1
2.55981818181818221E10	-8.91346002757340194E1
2.56000000000000005E10	-9.56874037816378298E1
2.56018181818181834E10	-8.69376334124194905E1
2.56036363636363706E10	-8.96049565936328740E1
2.56054545454545401E10	-9.39450155184889901E1
2.56072727272727318E10	-9.34590334829014502E1
2.56090909090909147E10	-1.06544394491688332E2
2.56109090909090931E10	-9.46265587722955637E1
2.56127272727272715E10	-8.89172000574304278E1
2.56145454545454587E10	-9.27367058414960077E1
2.56163636363636327E10	-8.64761013830515601E1
2.56181818181818155E10	-9.57877198062889157E1
2.56199999999999983E10	-8.50451495015187930E1
2.56218181818181767E10	-8.76930219029935110E1
2.56236363636363729E10	-8.88202223760118947E1
2.56254545454545379E10	-9.14005115402583002E1
2.56272727272727341E10	-8.46304355545362874E1
2.56290909090909125E10	-9.59165712719067010E1
2.56309090909090909E10	-9.23874771581010101E1
2.56327272727272737E10	-9.00727552172545565E1
2.56345454545454565E10	-9.44803994906170175E1
2.56363636363636349E10	-9.68717003444207059E1
2.56381818181818177E10	-9.80564975322977439E1
2.56399999999999961E10	-9.74012776322675933E1
2.56418181818181790E10	-9.25998676907081375E1
2.56436363636363662E10	-8.89786984345992948E1
2.56454545454545357E10	-9.12246871284019534E1
2.56472727272727274E10	-9.65171094192993628E1
2.56490909090909103E10	-9.46896305743070599E1
2.56509090909090887E10	-9.05770857113068750E1
2.56527272727272670E10	-1.00184903648956780E2
2.56545454545454632E10	-9.16594720331227819E1
2.56563636363636283E10	-9.43405676133492044E1
2.56581818181818244E10	-9.84490946063907657E1
2.56600000000000028E10	-8.72149887151696568E1
2.56618181818181856E10	-8.97365254579084670E1
2.56636363636363685E10	-8.78623332509078026E1
2.56654545454545424E10	-9.15713917333543748E1
2.56672727272727297E10	-8.91377281743743843E1
2.56690909090909081E10	-8.68469080509219893E1
2.56709090909090865E10	-8.69088319587469904E1
2.56727272727272693E10	-9.50789854848357763E1
2.56745454545454610E10	-9.26799273260866130E1
2.56763636363636305E10	-8.80960216708345811E1
2.56781818181818178E10	-9.16670277063016847E1
2.56800000000000006E10	-1.09976172682354578E2
2.56818181818181790E10	-8.83942805694779388E1
2.56836363636363663E10	-9.88190111084470324E1
2.56854545454545402E10	-9.15074141138696007E1
2.56872727272727275E10	-9.08272055992532223E1
2.56890909090909059E10	-1.15331966871454927E2
2.56909090909090887E10	-9.37678725923709244E1
2.56927272727272671E10	-1.02130057622686232E2
2.56945454545454588E10	-9.13796917717643531E1
2.56963636363636283E10	-9.26159381361207501E1
2.56981818181818200E10	-9.63022889973321483E1
2.56999999999999984E10	-9.21820617644552520E1
2.57018181818181812E10	-9.18734971397539724E1
2.57036363636363685E10	-1.00689702798134872E2
2.57054545454545380E10	-9.09313454200478155E1
2.57072727272727297E10	-9.19337316872781152E1
2.57090909090909125E10	-9.45627116152390990E1
2.57109090909090909E10	-9.02408329892006300E1
2.57127272727272693E10	-8.35449164149611079E1
2.57145454545454566E10	-9.15854504878431896E1
2.57163636363636305E10	-9.17868272619316805E1
2.57181818181818178E10	-8.99064322078357137E1
2.57200000000000006E10	-9.60014062860760120E1
2.57218181818181790E10	-9.35868809554090042E1
2.57236363636363707E10	-8.80604898002590275E1
2.57254545454545402E10	-8.95633870303041135E1
2.57272727272727320E10	-9.26254015912020989E1
2.57290909090909103E10	-9.44800884480286030E1
2.57309090909090887E10	-9.20081801666607291E1
2.57327272727272716E10	-8.75398143999818679E1
2.57345454545454588E10	-9.61485692564070149E1
2.57363636363636328E10	-9.25794146898088677E1
2.57381818181818200E10	-8.89186102012049240E1
2.57399999999999984E10	-9.85387415386571064E1
2.57418181818181768E10	-8.58793502852101298E1
2.57436363636363685E10	-9.63109064495707656E1
