freq	delay(2,1)
3.03449999999999998E10	2.08253165500754367E-12
3.03459999999999974E10	2.08315463142715940E-12
3.03469999999999995E10	2.08377789164885652E-12
3.03480000000000016E10	2.08440143535679034E-12
3.03489999999999993E10	2.08502526272753475E-12
3.03500000000000014E10	2.08564937444049558E-12
3.03509999999999991E10	2.08627376972087619E-12
3.03519999999999968E10	2.08689844906655830E-12
3.03530000000000033E10	2.08752341380014261E-12
3.03540000000000010E10	2.08814866257720722E-12
3.03549999999999986E10	2.08877419651888285E-12
3.03560000000000008E10	2.08940001462758973E-12
3.03569999999999984E10	2.09002611876595878E-12
3.03580000000000050E10	2.09065250739109665E-12
3.03590000000000027E10	2.09127918167681104E-12
3.03600000000000048E10	2.09190614182240342E-12
3.03610000000000024E10	2.09253338809417500E-12
3.03620000000000001E10	2.09316091979378927E-12
3.03629999999999978E10	2.09378873807316701E-12
3.03639999999999954E10	2.09441684281310092E-12
3.03649999999999975E10	2.09504523331051384E-12
3.03659999999999952E10	2.09567391159479222E-12
3.03669999999999973E10	2.09630287595668507E-12
3.03680000000000039E10	2.09693212716892141E-12
3.03690000000000015E10	2.09756166636716701E-12
3.03699999999999992E10	2.09819149233204616E-12
3.03709999999999969E10	2.09882160623712188E-12
3.03719999999999946E10	2.09945200779572572E-12
3.03730000000000011E10	2.10008269741936004E-12
3.03740000000000032E10	2.10071367512605800E-12
3.03750000000000009E10	2.10134494129163718E-12
3.03759999999999986E10	2.10197649544731391E-12
3.03770000000000007E10	2.10260833844679906E-12
3.03780000000000028E10	2.10324047038374973E-12
3.03790000000000004E10	2.10387289055803395E-12
3.03800000000000026E10	2.10450560056038638E-12
3.03810000000000002E10	2.10513859981330276E-12
3.03819999999999979E10	2.10577188873574572E-12
3.03830000000000044E10	2.10640546720010979E-12
3.03840000000000021E10	2.10703933540721700E-12
3.03849999999999998E10	2.10767349343363231E-12
3.03860000000000019E10	2.10830794230186314E-12
3.03869999999999996E10	2.10894268081638314E-12
3.03879999999999972E10	2.10957771030779506E-12
3.03889999999999993E10	2.11021303069797783E-12
3.03899999999999970E10	2.11084864198434907E-12
3.03909999999999991E10	2.11148454404404262E-12
3.03919999999999968E10	2.11212073775833531E-12
3.03929999999999989E10	2.11275722274976197E-12
3.03939999999999966E10	2.11339399919190774E-12
3.03949999999999987E10	2.11403106773116400E-12
3.03959999999999964E10	2.11466842843854641E-12
3.03969999999999985E10	2.11530608093991468E-12
3.03980000000000050E10	2.11594402593343300E-12
3.03990000000000027E10	2.11658226345196310E-12
3.04000000000000004E10	2.11722079354422910E-12
3.04009999999999980E10	2.11785961725280014E-12
3.04019999999999957E10	2.11849873308684611E-12
3.04030000000000022E10	2.11913814237371811E-12
3.04040000000000044E10	2.11977784518326029E-12
3.04050000000000020E10	2.12041784153505786E-12
3.04059999999999997E10	2.12105813150019751E-12
3.04070000000000018E10	2.12169871625154949E-12
3.04080000000000039E10	2.12233959474502676E-12
3.04090000000000016E10	2.12298076697181060E-12
3.04100000000000037E10	2.12362223415396523E-12
3.04110000000000014E10	2.12426399621650619E-12
3.04119999999999990E10	2.12490605328892723E-12
3.04130000000000011E10	2.12554840491306107E-12
3.04139999999999988E10	2.12619105171302536E-12
3.04150000000000009E10	2.12683399418641139E-12
3.04159999999999986E10	2.12747723242503284E-12
3.04169999999999963E10	2.12812076588826971E-12
3.04179999999999984E10	2.12876459622590675E-12
3.04190000000000005E10	2.12940872193346387E-12
3.04199999999999982E10	2.13005314445761140E-12
3.04210000000000003E10	2.13069786295780483E-12
3.04219999999999979E10	2.13134287831819513E-12
3.04230000000000000E10	2.13198819045851762E-12
3.04239999999999977E10	2.13263379974188538E-12
3.04249999999999998E10	2.13327970624517116E-12
3.04259999999999975E10	2.13392591047503322E-12
3.04269999999999996E10	2.13457241208434878E-12
3.04280000000000062E10	2.13521921113546220E-12
3.04290000000000038E10	2.13586630838357427E-12
3.04300000000000015E10	2.13651370384879158E-12
3.04309999999999992E10	2.13716139767432178E-12
3.04319999999999968E10	2.13780938993886371E-12
3.04330000000000034E10	2.13845768103067035E-12
3.04340000000000055E10	2.13910627115556595E-12
3.04350000000000032E10	2.13975515957693041E-12
3.04360000000000008E10	2.14040434766701937E-12
3.04370000000000029E10	2.14105383553606643E-12
3.04380000000000006E10	2.14170362221138655E-12
3.04389999999999983E10	2.14235371015278009E-12
3.04399999999999959E10	2.14300409704796202E-12
3.04409999999999936E10	2.14365478425722955E-12
3.04419999999999957E10	2.14430577142974643E-12
3.04430000000000023E10	2.14495705965356809E-12
3.04440000000000000E10	2.14560864819834229E-12
3.04450000000000021E10	2.14626053825140684E-12
3.04459999999999997E10	2.14691272890194140E-12
3.04469999999999974E10	2.14756522096313329E-12
3.04479999999999995E10	2.14821801435410009E-12
3.04490000000000016E10	2.14887110992599872E-12
3.04499999999999993E10	2.14952450678008011E-12
3.04510000000000014E10	2.15017820570084472E-12
3.04519999999999991E10	2.15083220667502673E-12
3.04530000000000012E10	2.15148651088353038E-12
3.04539999999999988E10	2.15214111681802445E-12
3.04550000000000010E10	2.15279602578642981E-12
3.04559999999999986E10	2.15345123798180760E-12
3.04570000000000007E10	2.15410675287196218E-12
3.04580000000000073E10	2.15476257182110054E-12
3.04590000000000050E10	2.15541869359819627E-12
3.04600000000000026E10	2.15607511934419671E-12
3.04610000000000003E10	2.15673184918956418E-12
3.04619999999999980E10	2.15738888265380790E-12
3.04630000000000001E10	2.15804622037903915E-12
3.04639999999999977E10	2.15870386266920100E-12
3.04649999999999954E10	2.15936181000024874E-12
3.04659999999999975E10	2.16002006166230176E-12
3.04669999999999952E10	2.16067861880145662E-12
3.04680000000000017E10	2.16133748058095465E-12
3.04689999999999994E10	2.16199664820751858E-12
3.04699999999999971E10	2.16265612143714492E-12
3.04709999999999948E10	2.16331590016292097E-12
3.04719999999999969E10	2.16397598544377257E-12
3.04730000000000034E10	2.16463637617009974E-12
3.04740000000000011E10	2.16529707336898181E-12
3.04750000000000032E10	2.16595807737155432E-12
3.04760000000000009E10	2.16661938746669147E-12
3.04769999999999985E10	2.16728100557456838E-12
3.04780000000000006E10	2.16794293027887264E-12
3.04790000000000028E10	2.16860516174184914E-12
3.04800000000000004E10	2.16926770143254943E-12
3.04810000000000025E10	2.16993054870612223E-12
3.04820000000000002E10	2.17059370404619312E-12
3.04830000000000023E10	2.17125716708281535E-12
3.04840000000000000E10	2.17192093833223376E-12
3.04850000000000021E10	2.17258501779773727E-12
3.04859999999999998E10	2.17324940615727646E-12
3.04870000000000019E10	2.17391410335534507E-12
3.04879999999999995E10	2.17457910979201019E-12
3.04889999999999972E10	2.17524442504750715E-12
3.04899999999999993E10	2.17591004978382685E-12
3.04909999999999970E10	2.17657598440821420E-12
3.04919999999999991E10	2.17724222824479918E-12
3.04930000000000012E10	2.17790878249927911E-12
3.04939999999999989E10	2.17857564670748705E-12
3.04949999999999966E10	2.17924282118732160E-12
3.04959999999999987E10	2.17991030710029499E-12
3.04969999999999963E10	2.18057810259385088E-12
3.04980000000000029E10	2.18124620961584714E-12
3.04990000000000006E10	2.18191462792602575E-12
3.04999999999999982E10	2.18258335717591301E-12
3.05009999999999959E10	2.18325239793281600E-12
3.05019999999999980E10	2.18392175110229170E-12
3.05030000000000046E10	2.18459141553091163E-12
3.05040000000000022E10	2.18526139211272019E-12
3.05050000000000043E10	2.18593168099972557E-12
3.05060000000000020E10	2.18660228267881740E-12
3.05069999999999997E10	2.18727319667052322E-12
3.05080000000000018E10	2.18794442374897757E-12
3.05090000000000039E10	2.18861596336026842E-12
3.05100000000000016E10	2.18928781722675669E-12
3.05110000000000037E10	2.18995998361636346E-12
3.05120000000000013E10	2.19063246380355325E-12
3.05129999999999990E10	2.19130525883545069E-12
3.05140000000000011E10	2.19197836654011180E-12
3.05149999999999988E10	2.19265178998296451E-12
3.05159999999999965E10	2.19332552657359869E-12
3.05169999999999941E10	2.19399957822494063E-12
3.05180000000000007E10	2.19467394504701030E-12
3.05189999999999984E10	2.19534862626841232E-12
3.05200000000000005E10	2.19602362309364807E-12
3.05209999999999981E10	2.19669893547420170E-12
3.05220000000000002E10	2.19737456303342604E-12
